name,season,stage,vote,search,age
Huh Yun-jin,3,1,24.73,0.08538,16
Kim Si-hyeon,3,1,26.26,0.06325,18
Wang Yi-ren,3,1,40.49,0.23266,17
Na Go-eun,3,1,17.82,0.03436,18
Lee Si-an,3,1,23.58,0.16638,19
Ko Yu-jin,3,1,22.04,0.09506,17
Son Eun-chae,3,1,17.57,0.081,18
Erii Chiba,3,1,22.84,0.62315,14
Mako Kojima,3,1,17.7,0.08217,21
Yoon Hae-sol,3,1,7.35,0.01609,20
Bae Eun-yeong,3,1,14.91,0.05656,21
Chiyori Nakanishi,3,1,12.77,0.02931,23
Tomu Muto,3,1,17.5,0.07061,23
Minami Sato,3,1,6.45,0.03378,14
Saho Iwatate,3,1,18.93,0.11293,23
Noe Yamada,3,1,31.44,0.59825,18
Nanami Asai,3,1,9.65,0.08948,18
Kim So-hee,3,1,7.59,0.1674,14
Kim Min-seo,3,1,6.99,0.04584,15
Vivian Murakawa,3,1,17.8,0.13779,18
Kim Hyun-ah,3,1,6.7,0.03326,23
Kim Su-yun,3,1,6.64,0.00823,17
Lee Ha-eun,3,1,16.43,0.14295,13
Misaki Aramaki,3,1,6.67,0.01952,17
Kim Cho-yeon,3,1,11.57,0.16052,16
Lee Yu-jeong,3,1,7.63,0.02747,14
Aoi Motomura,3,1,10.36,0.02613,21
Park Min-ji,3,1,6.81,0.04154,19
Yu Min-young,3,1,7.57,0.01925,18
Park Seo-young,3,1,11.21,0.0623,19
Wang Ke,3,1,10.13,0.05333,17
Cho Ka-hyeon,3,1,8.91,0.02626,15
Ikumi Nakano,3,1,6.42,0.01166,17
Hwang So-yeon,3,1,6.35,0.02116,17
Shin Su-hyun,3,1,6.35,0.03343,22
Kang Da-min,3,1,6.07,0.02714,14
Shinobu Mogi,3,1,5.77,0.01855,21
Erina Oda,3,1,5.76,0.01182,21
Yoon Eun-bin,3,1,5.74,0.02914,14
Choi Yeon-soo,3,1,5.62,0.24769,18
Natsumi Matsuoka ,3,1,5.45,0.01222,21
Park Chan-ju,3,1,5.29,0.0342,18
Park Jinny,3,1,5.25,0.0893,20
Kim Da-yeon,3,1,4.85,0.00594,15
Rena Hasegawa,3,1,4.78,0.00881,17
Cho Ah-yeong,3,1,4.63,0.11496,17
Lee Seung-hyeon,3,1,4.58,0.06531,17
Yuuka Kato,3,1,4.36,0.00881,20
Kim Da-hye,3,1,4.24,0.01849,16
Mina Imada,3,1,4.02,0.0097,21
Serika Nagano,3,1,4.01,0.00746,17
Hong Ye-ji,3,1,3.95,0.00834,16
Lee Chae-jeong,3,1,3.87,0.02495,18
Park Ji-eun,3,1,3.78,0.03662,20
Manami Ichikawa,3,1,3.77,0.02348,18
Alex Christine,3,1,3.75,0.01704,21
Sae Kurihara,3,1,3.73,0.0099,21
Cho Yeong-in,3,1,3.67,0.00485,17
Yuka Asai,3,1,3.59,0.00516,14
Ahn Ye-won,3,1,3.58,0.03874,17
Kokoro Naiki,3,1,3.45,0.0032,21
Kim Yu-bin,3,1,3.41,0.01681,15
Cho Sa-rang,3,1,3.4,0.00789,16
Choi So-eun,3,1,3.14,0.00576,18
Ayana Shinozaki,3,1,3.05,0.01987,22
Won Seo-yeon,3,1,3.01,0.00894,18
