name,season,stage,vote,search,age
Seo Sung-hyuk,2,3,5.44,0.2544,18
Kim Ye-hyun,2,3,5.33,0.17663,18
Lee Gun-hee,2,3,5.01,0.569,19
Lee Woo-jin,2,3,4.78,0.38007,14
Park Woo-dam,2,3,3.2,0.24081,22
Jang Won-young,3,3,27.8,4.18481,13
Sakura Miyawaki,3,3,37.38,1.54084,20
Jo Yu-ri,3,3,21.32,0.21742,16
Choi Ye-na,3,3,21.58,0.15871,18
Ahn Yu-jin,3,3,23.9,0.49395,14
Nako Yabuki,3,3,26.42,1.03318,16
Kwon Eun-bi,3,3,24.76,0.53365,22
Kang Hye-won,3,3,31.12,2.64865,18
Hitomi Honda,3,3,25,0.26236,16
Kim Chae-won,3,3,21.08,0.09568,17
Kim Min-joo,3,3,22.78,0.14785,17
"Lee Chae-yeon	",3,3,32.74,0.56795,18
Han Cho-won,3,3,24.32,0.31446,15
Lee Ga-eun,3,3,30.77,0.46862,23
Miho Miyazaki,3,3,34.8,9.24618,24
Juri Takahashi,3,3,21.35,0.15891,20
Miyu Takeuchi,3,3,30.34,1.26263,22
Miu Shitao,3,3,26.1,1.4256,17
Park Hae-yoon,3,3,20.47,0.08554,21
Miru Shiroma,3,3,26.86,0.15891,20
Kim Na-young,3,3,18.86,0.23748,15
Sae Murase,3,3,17.46,0.16449,21
Kim Do-ah,3,3,16.7,0.11041,14
Moe Goto,3,3,15.4,0.41056,17
Jang Gyu-ri,3,3,12.91,0.20402,20
Huh Yun-jin,3,3,9.7,0.19147,16
Kim Si-hyeon,3,3,9.6,0.06635,18
Wang Yi-ren,3,3,9.43,0.21029,17
Na Go-eun,3,3,7.99,0.08132,18
Lee Si-an,3,3,7.6,0.12422,19
Jeon So-mi,1,2,120.14,5.21178,15
Kim Se-jeong,1,2,147.36,9.82219,20
Choi Yoo-jung,1,2,128.64,4.53211,16
Kim Chung-ha,1,2,46.26,0.63501,20
Kim So-hye,1,2,83.31,5.39045,17
Zhou Jieqiong,1,2,88.55,1.80754,17
Jung Chae-yeon,1,2,69.68,2.14518,18
Kim Do-yeon,1,2,84.17,0.80158,16
Kang Mi-na,1,2,121.27,1.19366,16
Im Na-young,1,2,66.58,0.45285,20
Yoo Yeon-jung,1,2,68.46,1.6676,17
Han Hye-Ri,1,2,45.08,0.53718,19
Lee Su-Hyun,1,2,22.88,0.15768,20
Kim Na-Young,1,2,93.1,0.71364,20
Kim So-Hee,1,2,36.38,0.63599,21
Yoon Chae-Kyung,1,2,46.07,0.29578,20
Lee Hae-In,1,2,46.1,0.83201,22
Park So-Yeon,1,2,28.92,0.31872,16
Ki Hui-Hyeon,1,2,48.1,0.61651,21
Jeon So-Yeon,1,2,37.3,0.31312,18
Jung Eun-Woo,1,2,43.89,1.35838,18
Kang Si-Ra,1,2,29.01,0.42583,25
Ng Sze-Kai,1,2,29.85,0.2563,22
Kim Danielle,1,2,41.94,0.74505,16
Park Si-Yeon,1,2,37.23,1.00762,15
Huh Chan-Mi,1,2,24.9,1.09327,24
Hwang In-Sun,1,2,25.64,0.86911,29
"Seong Hye-Min	",1,2,32.94,0.34007,27
Kang Yae-Bin,1,2,25.06,0.37155,18
Kim Seo-Kyung,1,2,30.01,0.07275,17
Lee Soo-Min,1,2,24.35,9.86673,17
An Ye-Seul,1,2,30.18,0.57953,21
Kim Hyeong-Eun,1,2,33.27,0.17261,22
Kim Ju-Na,1,2,37.2,0.77131,22
Kwon Eun-Bin,1,2,31.1,7.07067,16
Kang Si-Won,1,2,20.65,0.04281,20
Yoon Seo-Hyeung,1,2,18.7,0.13056,21
Park Hae-Young,1,2,17.27,0.20398,18
Hwang Soo-Yeon,1,2,15.82,0.10359,24
Kim Si-Hyeon,1,2,15.02,0.093,17
Cho Shi-Yoon,1,2,14.66,0.08123,20
Kim Min-Gyeong,1,2,14.16,0.65696,19
Park Se-Hee,1,2,13.34,0.04476,23
Kim Min-Ji,1,2,13.3,0.16528,23
Kim Min-Jung,1,2,12.78,1.31098,14
Chu Ye-Jin,1,2,12.62,0.25783,15
Jung Hae-Rim,1,2,11.91,0.03017,18
Gang Gyeong-Won,1,2,11.81,0.07245,19
Oh Seo-Jung,1,2,11.79,0.36207,21
Kim Tae-Ha,1,2,11.72,0.13413,18
Park Ha-Yi,1,2,10.6,0.11735,28
Park Ga-Eul,1,2,10.37,0.06048,17
Yu Su-A,1,2,10.01,0.0434,19
Lee Jin-Hee,1,2,9.97,0.13233,25
Ariyoshi Risa,1,2,9.57,0.14497,22
Hwang A-Young,1,2,8.9,0.07828,20
Lim Jung-Min,1,2,8.8,0.05286,15
Kim Yeon-Kyung,1,2,7.46,0.13979,21
Lee Yoon-Seo,1,2,7.37,0.05966,14
Shim Chae-Eun,1,2,7.24,0.02106,17
Kang Si-Hyeon,1,2,6.53,0.02624,18
Kang Daniel,2,2,194.88,28.62072,20
Park Ji-hoon,2,2,281.18,8.07915,17
Lee Dae-hwi,2,2,209.53,5.88507,16
Kim Jae-hwan,2,2,182.28,1.22435,20
Ong Seong-wu,2,2,199.88,3.05041,21
Park Woo-jin,2,2,139.69,2.94509,18
Lai Kuan-lin,2,2,220.27,4.80357,15
Yoon Ji-sung,2,2,137.27,9.53078,26
Hwang Min-hyun,2,2,200.4,2.50977,21
Bae Jin-young,2,2,150.29,2.17025,16
Ha Sung-woon,2,2,83.86,1.27342,23
Jung Se-woon,2,2,128.43,2.23945,20
Kang Dong-ho,2,2,158.57,4.51352,22
Kim Jong-hyun,2,2,279.55,7.03789,22
Im Young-min,2,2,201.18,2.46095,21
Ahn Hyung-seob,2,2,117.14,3.16613,18
Yoo Seon-ho,2,2,150.25,1.43571,15
Kim Samuel,2,2,130.65,4.86169,15
Ju Hak-nyeon,2,2,162.92,4.82096,18
Choi Min-ki ,2,2,110.26,0.77325,22
Kim Yong-guk,2,2,119.09,2.19854,21
Kwon Hyun-bin,2,2,64.55,3.23928,20
Lee Eui-woong,2,2,85.55,0.7336,16
Kenta Takada,2,2,78.39,0.40976,22
Noh Tae-hyun,2,2,94.53,1.47211,24
Kim Sang-gyun,2,2,83.08,1.12458,22
Jang Moon-bok,2,2,74.51,19.21451,22
Kim Dong-hyun,2,2,82.16,0.69374,19
Kim Dong-han,2,2,62.99,0.41682,19
Kim Tae-dong,2,2,87.72,0.59806,20
Seo Sung-hyuk,2,2,84.42,1.34975,18
Kim Ye-hyun,2,2,69.16,0.23593,18
Lee Gun-hee,2,2,80,1.10576,19
Lee Woo-jin,2,2,83.61,0.89928,14
Park Woo-dam,2,2,82.64,0.65624,22
Jung Dong-soo,2,2,58.78,0.37519,26
Park Sung-woo,2,2,56.27,0.64251,29
Hong Eun-ki,2,2,55.7,0.78297,20
Yoo Hoe-seung,2,2,52.71,0.32081,22
Woo Jin-young,2,2,52.21,0.4066,20
Joo Jin-woo,2,2,49.69,0.5178,23
Yeo Hwan-woong,2,2,47.28,0.4198,19
Justin,2,2,45.87,0.19876,15
Lee Gwang-hyun,2,2,44.24,0.13451,19
Byun Hyun-min,2,2,41.94,0.17119,18
Yoon Hee-seok,2,2,40.85,0.77828,20
Kim Sung-ri,2,2,39.5,0.13243,23
Kim Sang-bin,2,2,38.98,0.15094,22
Kim Tae-woo,2,2,36.77,0.56406,23
Lee Jun-woo,2,2,34.33,0.11509,19
Jung Jung,2,2,33.01,0.12373,21
Kim Nam-hyung,2,2,32.86,0.07214,24
Lee Ki-won,2,2,31.86,0.13963,21
Lee Yoo-jin,2,2,31.63,0.63593,25
Yoon Jae-chan,2,2,27.7,0.14738,17
Kim Yong-jin,2,2,26.14,0.53151,20
Lee In-soo,2,2,25.69,0.12307,21
Kim Dong-bin,2,2,25.68,1.05946,16
Jang Won-young,3,2,101.06,4.08747,13
Sakura Miyawaki,3,2,82.41,1.8507,20
Jo Yu-ri,3,2,74.71,0.52196,16
Choi Ye-na,3,2,60.13,2.36249,18
Ahn Yu-jin,3,2,91.02,1.56731,14
Nako Yabuki,3,2,94.76,3.79418,16
Kwon Eun-bi,3,2,90.7,4.59112,22
Kang Hye-won,3,2,92.74,0.55893,18
Hitomi Honda,3,2,71.62,0.6743,16
Kim Chae-won,3,2,60.24,0.143,17
Kim Min-joo,3,2,86.03,0.28832,17
"Lee Chae-yeon	",3,2,59.73,0.51049,18
Han Cho-won,3,2,76.6,3.08229,15
Lee Ga-eun,3,2,80.84,8.10807,23
Miho Miyazaki,3,2,50.43,0.82858,24
Juri Takahashi,3,2,57.91,0.28057,20
Miyu Takeuchi,3,2,48.78,1.04416,22
Miu Shitao,3,2,56.22,4.34362,17
Park Hae-yoon,3,2,59.47,0.33849,21
Miru Shiroma,3,2,65.73,1.08821,20
Kim Na-young,3,2,57.28,0.45351,15
Sae Murase,3,2,54.65,1.48194,21
